time_utc,event,position_id,order_ticket,symbol,magic,direction,volume,price,sl,tp,profit,swap,commission,net_profit,close_reason,duration_min,price_move,comment,source
"2026.09.15 07:39:00","OPEN","5501001","88010003","XAUUSD","20260918","SELL","0.05","4319.84","4333.29","4315.84","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 08:42:00","OPEN","5501002","88010004","XAUUSD","20260918","SELL","0.05","4313.99","4324.57","4309.99","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 09:47:00","OPEN","5501003","88010005","XAUUSD","20260918","SELL","0.05","4354.34","4367.7","4350.34","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 11:10:00","CLOSE","5501002","88010004","XAUUSD","20260918","SELL","0.05","4310.14","0","0","19.25","0.04","-0.35","18.94","DEAL_REASON_TP","148","3.85","Telegram_Sig","Telegram_Sig"
"2026.09.15 11:37:00","OPEN","5501004","88010008","XAUUSD","20260918","SELL","0.05","4357.21","4366.58","4353.21","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 11:57:00","CLOSE","5501001","88010003","XAUUSD","20260918","SELL","0.05","4324.43","0","0","-22.95","-0.08","-0.35","-23.38","DEAL_REASON_SL","258","-4.59","Telegram_Sig","Telegram_Sig"
"2026.09.15 13:26:00","OPEN","5501005","88010009","XAUUSD","20260918","BUY","0.05","4356.75","4344.99","4360.75","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 13:52:00","CLOSE","5501003","88010005","XAUUSD","20260918","SELL","0.05","4351.06","0","0","16.4","-0.12","-0.35","15.93","DEAL_REASON_TP","245","3.28","Telegram_Sig","Telegram_Sig"
"2026.09.15 14:31:00","CLOSE","5501005","88010009","XAUUSD","20260918","BUY","0.05","4353.19","0","0","-17.8","-0.02","-0.35","-18.17","DEAL_REASON_CLIENT","65","-3.56","Telegram_Sig","Telegram_Sig"
"2026.09.15 14:36:00","CLOSE","5501004","88010008","XAUUSD","20260918","SELL","0.05","4365.11","0","0","-39.5","-0.17","-0.35","-40.02","DEAL_REASON_SL","179","-7.9","Telegram_Sig","Telegram_Sig"
"2026.09.15 15:44:00","OPEN","5501006","88010010","XAUUSD","20260918","BUY","0.05","4365.23","4351.41","4369.23","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 16:07:00","CLOSE","5501006","88010010","XAUUSD","20260918","BUY","0.05","4369.43","0","0","21.0","-0.18","-0.35","20.47","DEAL_REASON_TP","23","4.2","Telegram_Sig","Telegram_Sig"
"2026.09.15 18:34:00","OPEN","5501007","88010012","XAUUSD","20260918","SELL","0.05","4335.61","4347.07","4331.61","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.15 19:42:00","CLOSE","5501007","88010012","XAUUSD","20260918","SELL","0.05","4331.86","0","0","18.75","-0.02","-0.35","18.38","DEAL_REASON_TP","68","3.75","Telegram_Sig","Telegram_Sig"
"2026.09.15 20:29:00","OPEN","5501008","88010013","XAUUSD","20260918","SELL","0.05","4367.23","4378.47","4363.23","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.16 00:22:00","CLOSE","5501008","88010013","XAUUSD","20260918","SELL","0.05","4377.4","0","0","-50.85","0.0","-0.35","-51.2","DEAL_REASON_SL","233","-10.17","Telegram_Sig","Telegram_Sig"
"2026.09.16 04:18:00","OPEN","5501009","88010019","XAUUSD","20260918","BUY","0.05","4351.99","4340.3","4355.99","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.16 05:14:00","CLOSE","5501009","88010019","XAUUSD","20260918","BUY","0.05","4355.49","0","0","17.5","-0.1","-0.35","17.05","DEAL_REASON_TP","56","3.5","Telegram_Sig","Telegram_Sig"
"2026.09.16 06:07:00","OPEN","5501010","88010021","XAUUSD","20260918","BUY","0.05","4382.89","4374.33","4386.89","0","0","0","0","","0","0","Telegram_Sig","Telegram_Sig"
"2026.09.16 09:56:00","CLOSE","5501010","88010021","XAUUSD","20260918","BUY","0.05","4371.02","0","0","-59.35","-0.18","-0.35","-59.88","DEAL_REASON_SL","229","-11.87","Telegram_Sig","Telegram_Sig"
